Measure #137 from set 10 [1 --> 2], RSSI = -62
Measure #140 from set 10 [2 --> 1], RSSI = -66
Measure #138 from set 10 [1 --> 2], RSSI = -62
Measure #141 from set 10 [2 --> 1], RSSI = -64
Measure #139 from set 10 [1 --> 2], RSSI = -60
Measure #142 from set 10 [2 --> 1], RSSI = -63
Measure #140 from set 10 [1 --> 2], RSSI = -60
Measure #143 from set 10 [2 --> 1], RSSI = -62
Measure #141 from set 10 [1 --> 2], RSSI = -60
Measure #144 from set 10 [2 --> 1], RSSI = -62
Measure #142 from set 10 [1 --> 2], RSSI = -59
Measure #145 from set 10 [2 --> 1], RSSI = -62
Measure #143 from set 10 [1 --> 2], RSSI = -59
Measure #146 from set 10 [2 --> 1], RSSI = -61
Measure #144 from set 10 [1 --> 2], RSSI = -56
Measure #147 from set 10 [2 --> 1], RSSI = -61
Measure #145 from set 10 [1 --> 2], RSSI = -58
Measure #148 from set 10 [2 --> 1], RSSI = -62
Measure #146 from set 10 [1 --> 2], RSSI = -60
Measure #149 from set 10 [2 --> 1], RSSI = -63
Measure #147 from set 10 [1 --> 2], RSSI = -58
Measure #150 from set 10 [2 --> 1], RSSI = -62
Measure #148 from set 10 [1 --> 2], RSSI = -60
Measure #151 from set 10 [2 --> 1], RSSI = -62
Measure #149 from set 10 [1 --> 2], RSSI = -60
Measure #152 from set 10 [2 --> 1], RSSI = -62
Measure #150 from set 10 [1 --> 2], RSSI = -60
Measure #153 from set 10 [2 --> 1], RSSI = -63
Measure #151 from set 10 [1 --> 2], RSSI = -60
Measure #154 from set 10 [2 --> 1], RSSI = -62
Measure #152 from set 10 [1 --> 2], RSSI = -57
Measure #155 from set 10 [2 --> 1], RSSI = -62
Measure #153 from set 10 [1 --> 2], RSSI = -56
Measure #156 from set 10 [2 --> 1], RSSI = -62
Measure #154 from set 10 [1 --> 2], RSSI = -59
Measure #157 from set 10 [2 --> 1], RSSI = -62
Measure #155 from set 10 [1 --> 2], RSSI = -60
Measure #158 from set 10 [2 --> 1], RSSI = -62
Measure #156 from set 10 [1 --> 2], RSSI = -62
Measure #159 from set 10 [2 --> 1], RSSI = -64
Measure #157 from set 10 [1 --> 2], RSSI = -62
Measure #160 from set 10 [2 --> 1], RSSI = -64
Measure #158 from set 10 [1 --> 2], RSSI = -59
Measure #161 from set 10 [2 --> 1], RSSI = -62
Measure #159 from set 10 [1 --> 2], RSSI = -60
Measure #162 from set 10 [2 --> 1], RSSI = -64
Measure #160 from set 10 [1 --> 2], RSSI = -60
Measure #163 from set 10 [2 --> 1], RSSI = -64
Measure #161 from set 10 [1 --> 2], RSSI = -60
Measure #164 from set 10 [2 --> 1], RSSI = -62
Measure #162 from set 10 [1 --> 2], RSSI = -54
Measure #165 from set 10 [2 --> 1], RSSI = -59
Measure #163 from set 10 [1 --> 2], RSSI = -56
Measure #166 from set 10 [2 --> 1], RSSI = -61
Measure #164 from set 10 [1 --> 2], RSSI = -60
Measure #167 from set 10 [2 --> 1], RSSI = -63
Measure #165 from set 10 [1 --> 2], RSSI = -69
Measure #168 from set 10 [2 --> 1], RSSI = -70
Measure #166 from set 10 [1 --> 2], RSSI = -66
Measure #169 from set 10 [2 --> 1], RSSI = -69
Measure #167 from set 10 [1 --> 2], RSSI = -63
Measure #170 from set 10 [2 --> 1], RSSI = -64
Measure #168 from set 10 [1 --> 2], RSSI = -56
Measure #171 from set 10 [2 --> 1], RSSI = -62
Measure #169 from set 10 [1 --> 2], RSSI = -60
Measure #172 from set 10 [2 --> 1], RSSI = -62
Measure #170 from set 10 [1 --> 2], RSSI = -61
Measure #173 from set 10 [2 --> 1], RSSI = -64
Measure #171 from set 10 [1 --> 2], RSSI = -62
Measure #174 from set 10 [2 --> 1], RSSI = -64
Measure #172 from set 10 [1 --> 2], RSSI = -60
Measure #175 from set 10 [2 --> 1], RSSI = -62
Measure #173 from set 10 [1 --> 2], RSSI = -60
Measure #176 from set 10 [2 --> 1], RSSI = -64
Measure #174 from set 10 [1 --> 2], RSSI = -64
Measure #177 from set 10 [2 --> 1], RSSI = -67
Measure #175 from set 10 [1 --> 2], RSSI = -64
Measure #178 from set 10 [2 --> 1], RSSI = -66
Measure #176 from set 10 [1 --> 2], RSSI = -60
Measure #179 from set 10 [2 --> 1], RSSI = -64
Measure #177 from set 10 [1 --> 2], RSSI = -62
Measure #180 from set 10 [2 --> 1], RSSI = -66
Measure #178 from set 10 [1 --> 2], RSSI = -63
Measure #181 from set 10 [2 --> 1], RSSI = -66
Measure #179 from set 10 [1 --> 2], RSSI = -62
Measure #182 from set 10 [2 --> 1], RSSI = -65
Measure #180 from set 10 [1 --> 2], RSSI = -62
Measure #183 from set 10 [2 --> 1], RSSI = -66
Measure #181 from set 10 [1 --> 2], RSSI = -63
Measure #184 from set 10 [2 --> 1], RSSI = -65
Measure #182 from set 10 [1 --> 2], RSSI = -59
Measure #185 from set 10 [2 --> 1], RSSI = -61
Measure #183 from set 10 [1 --> 2], RSSI = -54
Measure #186 from set 10 [2 --> 1], RSSI = -60
Measure #184 from set 10 [1 --> 2], RSSI = -60
Measure #187 from set 10 [2 --> 1], RSSI = -62
Measure #185 from set 10 [1 --> 2], RSSI = -58
Measure #188 from set 10 [2 --> 1], RSSI = -62
Measure #186 from set 10 [1 --> 2], RSSI = -58
Measure #189 from set 10 [2 --> 1], RSSI = -62
Measure #187 from set 10 [1 --> 2], RSSI = -58
Measure #190 from set 10 [2 --> 1], RSSI = -61
Measure #188 from set 10 [1 --> 2], RSSI = -56
Measure #191 from set 10 [2 --> 1], RSSI = -60
Measure #189 from set 10 [1 --> 2], RSSI = -58
Measure #192 from set 10 [2 --> 1], RSSI = -61
Measure #190 from set 10 [1 --> 2], RSSI = -56
Measure #193 from set 10 [2 --> 1], RSSI = -60
Measure #191 from set 10 [1 --> 2], RSSI = -58
Measure #194 from set 10 [2 --> 1], RSSI = -62
Measure #192 from set 10 [1 --> 2], RSSI = -56
Measure #195 from set 10 [2 --> 1], RSSI = -61
Measure #193 from set 10 [1 --> 2], RSSI = -56
Measure #196 from set 10 [2 --> 1], RSSI = -60
Measure #194 from set 10 [1 --> 2], RSSI = -56
Measure #197 from set 10 [2 --> 1], RSSI = -61
Measure #195 from set 10 [1 --> 2], RSSI = -57
Measure #198 from set 10 [2 --> 1], RSSI = -62
Measure #196 from set 10 [1 --> 2], RSSI = -60
Measure #199 from set 10 [2 --> 1], RSSI = -62
Measure #197 from set 10 [1 --> 2], RSSI = -59
Measure #200 from set 10 [2 --> 1], RSSI = -62
Measure #198 from set 10 [1 --> 2], RSSI = -57
Measure #201 from set 10 [2 --> 1], RSSI = -62
Measure #199 from set 10 [1 --> 2], RSSI = -60
Measure #202 from set 10 [2 --> 1], RSSI = -62
Measure #200 from set 10 [1 --> 2], RSSI = -60
Measure #203 from set 10 [2 --> 1], RSSI = -62
Measure #201 from set 10 [1 --> 2], RSSI = -56
Measure #204 from set 10 [2 --> 1], RSSI = -62
Measure #202 from set 10 [1 --> 2], RSSI = -60
Measure #205 from set 10 [2 --> 1], RSSI = -62
Measure #203 from set 10 [1 --> 2], RSSI = -60
Measure #206 from set 10 [2 --> 1], RSSI = -62
Measure #204 from set 10 [1 --> 2], RSSI = -60
Measure #207 from set 10 [2 --> 1], RSSI = -62
Measure #205 from set 10 [1 --> 2], RSSI = -59
Measure #208 from set 10 [2 --> 1], RSSI = -62
Measure #206 from set 10 [1 --> 2], RSSI = -60
Measure #209 from set 10 [2 --> 1], RSSI = -64
Measure #207 from set 10 [1 --> 2], RSSI = -60
Measure #210 from set 10 [2 --> 1], RSSI = -63
Measure #208 from set 10 [1 --> 2], RSSI = -56
Measure #211 from set 10 [2 --> 1], RSSI = -61
Measure #209 from set 10 [1 --> 2], RSSI = -60
Measure #212 from set 10 [2 --> 1], RSSI = -64
Measure #210 from set 10 [1 --> 2], RSSI = -60
Measure #213 from set 10 [2 --> 1], RSSI = -64
Measure #211 from set 10 [1 --> 2], RSSI = -61
Measure #214 from set 10 [2 --> 1], RSSI = -64
Measure #212 from set 10 [1 --> 2], RSSI = -59
Measure #215 from set 10 [2 --> 1], RSSI = -61
Measure #213 from set 10 [1 --> 2], RSSI = -58
Measure #216 from set 10 [2 --> 1], RSSI = -63
Measure #214 from set 10 [1 --> 2], RSSI = -60
Measure #217 from set 10 [2 --> 1], RSSI = -64
Measure #215 from set 10 [1 --> 2], RSSI = -57
Measure #218 from set 10 [2 --> 1], RSSI = -60
Measure #216 from set 10 [1 --> 2], RSSI = -54
Measure #219 from set 10 [2 --> 1], RSSI = -60
Measure #217 from set 10 [1 --> 2], RSSI = -60
Measure #220 from set 10 [2 --> 1], RSSI = -62
Measure #218 from set 10 [1 --> 2], RSSI = -60
Measure #221 from set 10 [2 --> 1], RSSI = -62
Measure #219 from set 10 [1 --> 2], RSSI = -58
Measure #222 from set 10 [2 --> 1], RSSI = -60
Measure #220 from set 10 [1 --> 2], RSSI = -56
Measure #223 from set 10 [2 --> 1], RSSI = -61
Measure #221 from set 10 [1 --> 2], RSSI = -62
Measure #224 from set 10 [2 --> 1], RSSI = -64
Measure #222 from set 10 [1 --> 2], RSSI = -60
Measure #225 from set 10 [2 --> 1], RSSI = -62
Measure #223 from set 10 [1 --> 2], RSSI = -54
Measure #226 from set 10 [2 --> 1], RSSI = -60
Measure #224 from set 10 [1 --> 2], RSSI = -55
Measure #227 from set 10 [2 --> 1], RSSI = -60
Measure #225 from set 10 [1 --> 2], RSSI = -56
Measure #228 from set 10 [2 --> 1], RSSI = -61
Measure #226 from set 10 [1 --> 2], RSSI = -56
Measure #229 from set 10 [2 --> 1], RSSI = -60
Measure #227 from set 10 [1 --> 2], RSSI = -62
Measure #230 from set 10 [2 --> 1], RSSI = -64
Measure #228 from set 10 [1 --> 2], RSSI = -61
Measure #231 from set 10 [2 --> 1], RSSI = -64
Measure #229 from set 10 [1 --> 2], RSSI = -62
Measure #232 from set 10 [2 --> 1], RSSI = -64
Measure #230 from set 10 [1 --> 2], RSSI = -62
Measure #233 from set 10 [2 --> 1], RSSI = -64
Measure #231 from set 10 [1 --> 2], RSSI = -60
Measure #234 from set 10 [2 --> 1], RSSI = -62
Measure #232 from set 10 [1 --> 2], RSSI = -59
Measure #235 from set 10 [2 --> 1], RSSI = -60
Measure #233 from set 10 [1 --> 2], RSSI = -55
Measure #236 from set 10 [2 --> 1], RSSI = -60
Measure #234 from set 10 [1 --> 2], RSSI = -59
Measure #237 from set 10 [2 --> 1], RSSI = -64
Measure #235 from set 10 [1 --> 2], RSSI = -62
Measure #238 from set 10 [2 --> 1], RSSI = -64
Measure #236 from set 10 [1 --> 2], RSSI = -60
Measure #239 from set 10 [2 --> 1], RSSI = -64
Measure #237 from set 10 [1 --> 2], RSSI = -58
Measure #240 from set 10 [2 --> 1], RSSI = -62
Measure #238 from set 10 [1 --> 2], RSSI = -62
Measure #241 from set 10 [2 --> 1], RSSI = -64
Measure #239 from set 10 [1 --> 2], RSSI = -60
Measure #242 from set 10 [2 --> 1], RSSI = -62
Measure #240 from set 10 [1 --> 2], RSSI = -60
Measure #243 from set 10 [2 --> 1], RSSI = -63
Measure #241 from set 10 [1 --> 2], RSSI = -64
Measure #244 from set 10 [2 --> 1], RSSI = -70
Measure #242 from set 10 [1 --> 2], RSSI = -63
Measure #245 from set 10 [2 --> 1], RSSI = -65
Measure #243 from set 10 [1 --> 2], RSSI = -55
Measure #246 from set 10 [2 --> 1], RSSI = -61
Measure #244 from set 10 [1 --> 2], RSSI = -60
Measure #247 from set 10 [2 --> 1], RSSI = -61
Measure #245 from set 10 [1 --> 2], RSSI = -58
Measure #248 from set 10 [2 --> 1], RSSI = -62
Measure #246 from set 10 [1 --> 2], RSSI = -62
Measure #249 from set 10 [2 --> 1], RSSI = -66
Measure #247 from set 10 [1 --> 2], RSSI = -64
Measure #250 from set 10 [2 --> 1], RSSI = -67
Measure #248 from set 10 [1 --> 2], RSSI = -65
Measure #251 from set 10 [2 --> 1], RSSI = -66
Measure #249 from set 10 [1 --> 2], RSSI = -63
Measure #252 from set 10 [2 --> 1], RSSI = -64
Measure #250 from set 10 [1 --> 2], RSSI = -61
Measure #253 from set 10 [2 --> 1], RSSI = -64
Measure #251 from set 10 [1 --> 2], RSSI = -58
Measure #254 from set 10 [2 --> 1], RSSI = -63
Measure #252 from set 10 [1 --> 2], RSSI = -64
Measure #255 from set 10 [2 --> 1], RSSI = -68
Measure #253 from set 10 [1 --> 2], RSSI = -66
Measure #256 from set 10 [2 --> 1], RSSI = -72
Measure #254 from set 10 [1 --> 2], RSSI = -64
Measure #257 from set 10 [2 --> 1], RSSI = -64
Measure #255 from set 10 [1 --> 2], RSSI = -60
Measure #258 from set 10 [2 --> 1], RSSI = -64
Measure #256 from set 10 [1 --> 2], RSSI = -62
Measure #259 from set 10 [2 --> 1], RSSI = -68
Measure #257 from set 10 [1 --> 2], RSSI = -64
